BA1 0AA,51.37886,-2.35556,E01014371
BA1 0AB,51.37886,-2.35556,E01014371
BA1 0AD,51.37886,-2.35556,E01014371
BA1 0AE,51.37886,-2.35556,E01014371
BA1 0AF,51.38205,-2.35879,E01014370
BA1 0AG,51.37886,-2.35556,E01014371
BA1 0AH,51.37886,-2.35556,E01014371
BA1 0AJ,51.37886,-2.35556,E01014371
BA1 0AL,51.37886,-2.35556,E01014371
BA1 0AN,51.37886,-2.35556,E01014371
BA1 0AP,51.37886,-2.35556,E01014371
BA1 0AQ,51.37885,-2.35556,E01014371
BA1 0AR,51.37885,-2.35556,E01014371
BA1 0AS,51.37886,-2.35556,E01014371
BA1 0AT,51.37886,-2.35556,E01014371
BA1 0AU,51.37886,-2.35556,E01014371
BA1 0AW,51.37886,-2.35556,E01014371
BA1 0AX,51.37886,-2.35556,E01014371
BA1 0AY,51.37885,-2.35556,E01014371
BA1 0AZ,51.37885,-2.35556,E01014371
BA1 0BA,51.37886,-2.35556,E01014371
BA1 0BB,51.37886,-2.35556,E01014371
BA1 0BD,51.37886,-2.35556,E01014371
BA1 0BE,51.37886,-2.35556,E01014371
BA1 0BF,51.37886,-2.35556,E01014371
BA1 0BG,51.37885,-2.35556,E01014371
BA1 0BH,51.37886,-2.35556,E01014371
BA1 0BJ,51.37886,-2.35556,E01014371
BA1 0BL,51.37886,-2.35556,E01014371
BA1 0BN,51.37886,-2.35556,E01014371
BA1 0BP,51.37886,-2.35556,E01014371
BA1 0BQ,51.37886,-2.35556,E01014371
BA1 0BR,51.37886,-2.35556,E01014371
BA1 0BS,51.37886,-2.35556,E01014371
BA1 0BT,51.37885,-2.35556,E01014371
BA1 0BU,51.37886,-2.35556,E01014371
BA1 0BW,51.37886,-2.35556,E01014371
BA1 0BX,51.37886,-2.35556,E01014371
BA1 0BY,51.37886,-2.35556,E01014371
BA1 0BZ,51.37886,-2.35556,E01014371
BA1 0DA,51.37886,-2.35556,E01014371
BA1 0DB,51.37886,-2.35556,E01014371
BA1 0DD,51.37886,-2.35556,E01014371
BA1 0DE,51.37886,-2.35556,E01014371
BA1 0DF,51.37886,-2.35556,E01014371
BA1 0DG,51.37886,-2.35556,E01014371
BA1 0DH,51.37885,-2.35556,E01014371
BA1 0DJ,51.37886,-2.35556,E01014371
BA1 0DL,51.37886,-2.35556,E01014371
BA1 0DN,51.37886,-2.35556,E01014371
BA1 0DP,51.37886,-2.35556,E01014371
BA1 0DQ,51.37886,-2.35556,E01014371
BA1 0DR,51.37886,-2.35556,E01014371
BA1 0DS,51.37885,-2.35556,E01014371
BA1 0DT,51.37886,-2.35556,E01014371
BA1 0DU,51.37886,-2.35556,E01014371
BA1 0DW,51.37886,-2.35556,E01014371
BA1 0DX,51.37886,-2.35556,E01014371
BA1 0DY,51.37886,-2.35556,E01014371
BA1 0DZ,51.37886,-2.35556,E01014371
BA1 0EA,51.37886,-2.35556,E01014371
BA1 0EB,51.37886,-2.35556,E01014371
BA1 0ED,51.37886,-2.35556,E01014371
BA1 0EE,51.37886,-2.35556,E01014371
BA1 0EF,51.37886,-2.35556,E01014371
BA1 0EG,51.37886,-2.35556,E01014371
BA1 0EH,51.37886,-2.35556,E01014371
BA1 0EJ,51.37885,-2.35556,E01014371
BA1 0EL,51.37886,-2.35556,E01014371
BA1 0EN,51.37886,-2.35556,E01014371
BA1 0EP,51.37886,-2.35556,E01014371
BA1 0EQ,51.37885,-2.35556,E01014371
BA1 0ER,51.37886,-2.35556,E01014371
BA1 0ES,51.37886,-2.35556,E01014371
BA1 0ET,51.37886,-2.35556,E01014371
BA1 0EU,51.37886,-2.35556,E01014371
BA1 0EW,51.37886,-2.35556,E01014371
BA1 0EX,51.37886,-2.35556,E01014371
BA1 0EY,51.37886,-2.35556,E01014371
BA1 0EZ,51.37886,-2.35556,E01014371
BA1 0FA,51.37885,-2.35556,E01014371
BA1 0FB,51.37886,-2.35556,E01014371
BA1 0FD,51.37886,-2.35556,E01014371
BA1 0FE,51.37886,-2.35556,E01014371
BA1 0FF,51.37886,-2.35556,E01014371
BA1 0FG,51.37885,-2.35556,E01014371
BA1 0FH,51.37885,-2.35556,E01014371
BA1 0FJ,51.37886,-2.35556,E01014371
BA1 0FL,51.37885,-2.35556,E01014371
BA1 0FN,51.37885,-2.35556,E01014371
BA1 0FP,51.37886,-2.35556,E01014371
BA1 0FQ,51.37886,-2.35556,E01014371
BA1 0FR,51.37886,-2.35556,E01014371
BA1 0FS,51.37886,-2.35556,E01014371
BA1 0FT,51.37886,-2.35556,E01014371
BA1 0FU,51.37886,-2.35556,E01014371
BA1 0FW,51.37885,-2.35556,E01014371
BA1 0FX,51.37885,-2.35556,E01014371
BA1 0FY,51.37886,-2.35556,E01014371
BA1 0FZ,51.37886,-2.35556,E01014371
BA1 0GA,51.37886,-2.35556,E01014371
BA1 0GB,51.37886,-2.35556,E01014371
BA1 0GD,51.37886,-2.35556,E01014371
BA1 0GE,51.37886,-2.35556,E01014371
BA1 0GF,51.37886,-2.35556,E01014371
BA1 0GG,51.37886,-2.35556,E01014371
BA1 0GH,51.37886,-2.35556,E01014371
BA1 0GJ,51.37886,-2.35556,E01014371
BA1 0GL,51.37885,-2.35556,E01014371
BA1 0GN,51.37886,-2.35556,E01014371
BA1 0GP,51.37886,-2.35556,E01014371
BA1 0GQ,51.37885,-2.35556,E01014371
BA1 0GR,51.37886,-2.35556,E01014371
BA1 0GS,51.37886,-2.35556,E01014371
BA1 0GT,51.37886,-2.35556,E01014371
BA1 0GU,51.37886,-2.35556,E01014371
BA1 0GW,51.37886,-2.35556,E01014371
BA1 0GX,51.37886,-2.35556,E01014371
